text,emotion,emotion_code,sub_emotion,processed_text
It's a joke.,happiness,0,amusement,It is a joke .
You can't leave it for two minutes on your own.,anger,2,annoyance,You can't leave it for two minutes on your own .
It's terrible.,sadness,1,disappointment,It is terrible .
You can't tell us you groan,anger,2,annoyance,You can't tell us you groan
Because Carla will do photo shoots,neutral,6,neutral,Because Carla will do photo shoots
While you are going to eat darlings.,neutral,6,neutral,While you are going to eat darlings .
But I was talking.,anger,2,annoyance,But I was talking .
I was doing facial recognition.,neutral,6,neutral,I was doing facial recognition .
I was doing merchandising.,neutral,6,neutral,I was doing merchandising .
We stayed not very long since we arrived.,neutral,6,neutral,We stayed not very long since we arrived .
There was Marie-Antoinette.,neutral,6,neutral,There was Marie-Antoinette .
There were the Churros.,neutral,6,neutral,There were the Churros .
Fortunately it's not just girl stands,happiness,0,relief,Fortunately it is not just girl stands
Otherwise we died.,happiness,0,amusement,Otherwise we died .
You are untenable.,anger,2,annoyance,You are untenable .
You are untenable.,anger,2,annoyance,You are untenable .
Untenable.,anger,2,annoyance,Untenable .
"Kévin, decidedly, we can't hold it.",anger,2,annoyance,"Kévin , decidedly , we can't hold it ."
He remakes us the Jaguar.,happiness,0,amusement,He remakes us the Jaguar .
Hello Marseillais.,neutral,6,neutral,Hello Marseillais .
I am Myriam.,neutral,6,neutral,I am Myriam .
I am part of the organization of the French Festival.,happiness,0,pride,I am part of the organization of the French Festival .
I would now need the three models.,neutral,6,neutral,I would now need the three models .
"Ok, it's us.",neutral,6,neutral,"Ok , it is us ."
Who is the beautiful kids?,surprise,4,curiosity,Who is the beautiful kids ?
Who is the beautiful kids?,surprise,4,curiosity,Who is the beautiful kids ?
On arrive.,neutral,6,neutral,On arrive .
"Come on, let's change.",neutral,6,neutral,"Come on , let us change ."
Follow me.,neutral,6,neutral,Follow me .
Let's go.,neutral,6,neutral,Let us go .
"Myriam, the festival manager who picks us up.",neutral,6,neutral,"Myriam , the festival manager who picks us up ."
"Benjamin, Julien and me to prepare for the parade.",happiness,0,excitement,"Benjamin , Julien and me to prepare for the parade ."
Hello.,neutral,6,neutral,Hello .
It's Tatiana.,neutral,6,neutral,It is Tatiana .
Oui.,neutral,6,neutral,Oui .
It's Tatiana.,neutral,6,neutral,It is Tatiana .
OK.,neutral,6,neutral,OK .
"Come on, let's go.",happiness,0,excitement,"Come on , let us go ."
Super.,happiness,0,excitement,Super .
"There, we find Tatiana, the stylist.",neutral,6,neutral,"There , we find Tatiana , the stylist ."
Here we go.,happiness,0,excitement,Here we go .
We're going to go make me make up.,neutral,6,neutral,We're going to go make me make up .
I end up with all the Australians who will parade.,fear,3,nervousness,I end up with all the Australians who will parade .
"The pressure, it begins to go up.",fear,3,nervousness,"The pressure , it begins to go up ."
"Suddenly, I can't wait to know how she will make up.",surprise,4,curiosity,"Suddenly , I can't wait to know how she will make up ."
Makeup is over.,neutral,6,neutral,Makeup is over .
"Suddenly, let's go.",happiness,0,excitement,"Suddenly , let us go ."
Tatiana gives me my first outfit that I tried before.,neutral,6,neutral,Tatiana gives me my first outfit that I tried before .
"Suddenly, I put it on.",neutral,6,neutral,"Suddenly , I put it on ."
"And there, disaster.",sadness,1,disappointment,"And there , disaster ."
It's the Churros.,surprise,4,confusion,It is the Churros .
I didn't stay on TV for the parade.,sadness,1,disappointment,I didn't stay on TV for the parade .
"I brushed, guys.",neutral,6,neutral,"I brushed , guys ."
"Raclette, Churros.",surprise,4,confusion,"Raclette , Churros ."
It's ok?,neutral,6,neutral,It is ok ?
Can you help ?,fear,3,nervousness,Can you help ?
Can you breathe ?,neutral,6,neutral,Can you breathe ?
It's OK.,neutral,6,neutral,It is OK .
OK.,neutral,6,neutral,OK .
For what ?,surprise,4,confusion,For what ?
I have room with this pants.,happiness,0,relief,I have room with this pants .
You have room.,happiness,0,relief,You have room .
You can eat all week raclette.,happiness,0,amusement,You can eat all week raclette .
This is reopened.,neutral,6,neutral,This is reopened .
"You eat, you see?",neutral,6,neutral,"You eat , you see ?"
Voilà.,neutral,6,neutral,Voilà .
Voilà.,neutral,6,neutral,Voilà .
I'm happy.,happiness,0,joy,I am happy .
It's not just me.,happiness,0,relief,It is not just me .
We are all in the brood.,neutral,6,neutral,We are all in the brood .
My pants no longer closes.,anger,2,annoyance,My pants no longer closes .
"As soon as I lower, the button, it reopens.",anger,2,annoyance,"As soon as I lower , the button , it reopens ."
"It will be very complicated to parade on stage, to put on the stairs",fear,3,nervousness,"It will be very complicated to parade on stage , to put on the stairs"
Without the pants cracking.,fear,3,fear,Without the pants cracking .
I will have to make an apnea from another world.,happiness,0,optimism,I will have to make an apnea from another world .
Australia does not succeed in the container level.,sadness,1,disappointment,Australia does not succeed in the container level .
Yes.,neutral,6,neutral,Yes .
They want everything I ask them.,neutral,6,neutral,They want everything I ask them .
Voilà.,neutral,6,neutral,Voilà .
You are experiencing what I live.,neutral,6,realization,You are experiencing what I live .
It makes me happy.,happiness,0,joy,It makes me happy .
"Before I am like you, I need years.",neutral,6,neutral,"Before I am like you , I need years ."
It makes me happy all that.,happiness,0,joy,It makes me happy all that .
I am super happy with this woman's return.,happiness,0,joy,I am super happy with this woman's return .
She only makes fun of me all day.,anger,2,annoyance,She only makes fun of me all day .
"Voiling, Jessica.",neutral,6,neutral,"Voiling , Jessica ."
"By dint of making fun of me, it happens to you too.",happiness,0,amusement,"By dint of making fun of me , it happens to you too ."
You no longer close your pants.,neutral,6,neutral,You no longer close your pants .
I can already climb the steps without farting my pants.,happiness,0,pride,I can already climb the steps without farting my pants .
No problem.,neutral,6,neutral,No problem .
I manage.,neutral,6,neutral,I manage .
"Come on, let's go.",happiness,0,excitement,"Come on , let us go ."
The parade begins.,happiness,0,excitement,The parade begins .
OK.,neutral,6,neutral,OK .
that this is my guy.,happiness,0,pride,that this is my guy .
I am very proud of him.,happiness,0,pride,I am very proud of him .
The model is a crazy thing.,happiness,0,amusement,The model is a crazy thing .
It goes very quickly.,surprise,4,surprise,It goes very quickly .
You have to be very fast.,fear,3,fear,You have to be very fast .
It's a crazy thing.,happiness,0,amusement,It is a crazy thing .
It's a crazy thing.,happiness,0,amusement,It is a crazy thing .
It's a crazy thing.,happiness,0,amusement,It is a crazy thing .
It goes very quickly.,surprise,4,surprise,It goes very quickly .
You have to be very fast.,fear,3,fear,You have to be very fast .
"Clearly, it's a marathon.",happiness,0,optimism,"Clearly , it is a marathon ."
"Suddenly, I tell myself that it's not bad to open a small modeling agency",happiness,0,optimism,"Suddenly , I tell myself that it is not bad to open a small modeling agency"
I love this game.,happiness,0,joy,I love this game .
I have the guy.,happiness,0,pride,I have the guy .
I type poses.,neutral,6,neutral,I type poses .
I look at Camille.,neutral,6,neutral,I look at Camille .
"Really, I'm starting to have fun and it amuses me.",happiness,0,amusement,"Really , I am starting to have fun and it amuses me ."
We are super happy with our parade.,happiness,0,joy,We are super happy with our parade .
We have pretty successful.,happiness,0,pride,We have pretty successful .
We were not mistaken.,happiness,0,relief,We were not mistaken .
"We are fully, clearly.",neutral,6,neutral,"We are fully , clearly ."
"Hello, The Marseillais.",neutral,6,neutral,"Hello , The Marseillais ."
Bonjour.,neutral,6,neutral,Bonjour .
We enjoyed each other.,happiness,0,joy,We enjoyed each other .
Really.,neutral,6,neutral,Really .
"I know it was not easy because it was quite stressful,",fear,3,nervousness,"I know it was not easy because it was quite stressful ,"
Super.,happiness,0,excitement,Super .
Did you like it?,surprise,4,curiosity,Did you like it ?
It's great.,happiness,0,joy,It is great .
We enjoyed each other.,happiness,0,joy,We enjoyed each other .
Come on.,neutral,6,neutral,Come on .
See you soon.,neutral,6,neutral,See you soon .
See you soon.,neutral,6,neutral,See you soon .
"Myriam, congratulated because we have managed well.",happiness,0,pride,"Myriam , congratulated because we have managed well ."
We gave ourselves thoroughly.,happiness,0,pride,We gave ourselves thoroughly .
"Suddenly, we are very happy.",happiness,0,joy,"Suddenly , we are very happy ."
"We participated in a parade and in addition to that, we succeeded.",happiness,0,pride,"We participated in a parade and in addition to that , we succeeded ."
"Come on, let's go.",happiness,0,excitement,"Come on , let us go ."
Bye.,neutral,6,neutral,Bye .
See you soon.,neutral,6,neutral,See you soon .
Bye.,neutral,6,neutral,Bye .
We return to the villa and we must not forget that we are supposed to return from Vegas,neutral,6,neutral,We return to the villa and we must not forget that we are supposed to return from Vegas
And not French festival.,neutral,6,neutral,And not French festival .
"Suddenly, we will really have to play the game.",happiness,0,optimism,"Suddenly , we will really have to play the game ."
"And for the vegas, go, go.",happiness,0,excitement,"And for the vegas , go , go ."
"And for the vegas, go, go.",happiness,0,excitement,"And for the vegas , go , go ."
We all arrive at the villa and we all sing.,happiness,0,joy,We all arrive at the villa and we all sing .
"And for Vegas, go, go.",happiness,0,excitement,"And for Vegas , go , go ."
"That's it, let's go.",happiness,0,excitement,"That's it , let us go ."
We are in the guys' scholarship returning from Las Vegas.,neutral,6,neutral,We are in the guys' scholarship returning from Las Vegas .
"And for Vegas, go, go.",happiness,0,excitement,"And for Vegas , go , go ."
They came back!,surprise,4,surprise,They came back !
"Oh guys, Vegas it was madness!",happiness,0,excitement,"Oh guys , Vegas it was madness !"
"They are there, they are there!",happiness,0,excitement,"They are there , they are there !"
We were in Las Vegas!,happiness,0,excitement,We were in Las Vegas !
We went to Vegas!,happiness,0,excitement,We went to Vegas !
"They come back dressed all in a suit,",surprise,4,curiosity,"They come back dressed all in a suit ,"
"Julien in shirt, Kevin in a suit.",neutral,6,neutral,"Julien in shirt , Kevin in a suit ."
"They look a little tired, euphoric.",happiness,0,excitement,"They look a little tired , euphoric ."
"You have to go to Vegas, is it a joke or what?",surprise,4,confusion,"You have to go to Vegas , is it a joke or what ?"
"The $ came up with us to pick us up an hour later,",neutral,6,neutral,"The $ came up with us to pick us up an hour later ,"
She gave us a joke.,happiness,0,amusement,She gave us a joke .
"She sent a message, go, I don't know what, to work.",surprise,4,confusion,"She sent a message , go , I do not know what , to work ."
"In fact, it was not the Ivry that was looking for us, we went to Vegas.",neutral,6,realization,"In fact , it was not the Ivry that was looking for us , we went to Vegas ."
"I swear, on the advice of my little brother, that we were in Vegas.",happiness,0,pride,"I swear , on the advice of my little brother , that we were in Vegas ."
Come.,neutral,6,neutral,Come .
"Come, come!",happiness,0,excitement,"Come , come !"
"And for Vegas, go!",happiness,0,excitement,"And for Vegas , go !"
"The others come back, and there we see them with suitcases,",surprise,4,curiosity,"The others come back , and there we see them with suitcases ,"
"They arrive a little jetlagued, tired.",neutral,6,neutral,"They arrive a little jetlagued , tired ."
"Kevin, he doesn't seem too much to look at me,",surprise,4,confusion,"Kevin , he doesn't seem too much to look at me ,"
"He doesn't seem too happy to find me,",sadness,1,disappointment,"He doesn't seem too happy to find me ,"
So I don't really understand.,surprise,4,confusion,So I do not really understand .
Didn't you want to wedge yourself?,surprise,4,confusion,Didn't you want to wedge yourself ?
"Baby, how is it signed?",surprise,4,curiosity,"Baby , how is it signed ?"
"Wait, wait!",neutral,6,neutral,"Wait , wait !"
Two seconds!,neutral,6,neutral,Two seconds !
"On the other hand, you know that in an hour, we leave.",neutral,6,neutral,"On the other hand , you know that in an hour , we leave ."
"Is that it, are you tired?",neutral,6,neutral,"Is that it , are you tired ?"
"Carla, she arrives and she tells me",neutral,6,neutral,"Carla , she arrives and she tells me"
But I feel that it is tense.,fear,3,nervousness,But I feel that it is tense .
"Well, what happened?",surprise,4,confusion,"Well , what happened ?"
"So we arrived in Sydney,",neutral,6,neutral,"So we arrived in Sydney ,"
"We see the apartment, rooftop, 77th floor.",happiness,0,excitement,"We see the apartment , rooftop , 77th floor ."
Everything cited.,neutral,6,neutral,Everything cited .
I also want to know their stories.,surprise,4,curiosity,I also want to know their stories .
So the stories.,neutral,6,neutral,So the stories .
Julia pays?,surprise,4,curiosity,Julia pays ?
Non !,surprise,4,surprise,Non !
Wait !,neutral,6,neutral,Wait !
Wait !,neutral,6,neutral,Wait !
"There was not the kiss, but it lacks more than that.",sadness,1,disappointment,"There was not the kiss , but it lacks more than that ."
It lacks more than the kiss.,sadness,1,disappointment,It lacks more than the kiss .
But no !,surprise,4,surprise,But no !
"Nico, are you on the cane?",surprise,4,curiosity,"Nico , are you on the cane ?"
"Nico, on Téco.",neutral,6,neutral,"Nico , on Téco ."
"And you, Julien, are you kidding?",surprise,4,curiosity,"And you , Julien , are you kidding ?"
"Nico, I launched a challenge,",happiness,0,pride,"Nico , I launched a challenge ,"
And what happened?,surprise,4,curiosity,And what happened ?
It was Pagas who got closer to Julia.,neutral,6,neutral,It was Pagas who got closer to Julia .
"But my brother Nico, if I'm not here,",neutral,6,neutral,"But my brother Nico , if I am not here ,"
"He's Merguez, it's not possible.",neutral,6,neutral,"He's Merguez , it is not possible ."
"I started light,",neutral,6,neutral,"I started light ,"
"But afterwards, I let you speak.",neutral,6,neutral,"But afterwards , I let you speak ."
But where were you?,surprise,4,curiosity,But where were you ?
We were in Las Vegas.,neutral,6,neutral,We were in Las Vegas .
Don't you think? You have stopped.,surprise,4,confusion,Do not you think ? You have stopped .
There are almost 6 hours of flight.,neutral,6,neutral,There are almost 6 hours of flight .
"I am Blanque, but it is that Las Vegas is at the other end.",neutral,6,neutral,"I am Blanque , but it is that Las Vegas is at the other end ."
"Certainly, I do not know the world map,",neutral,6,neutral,"Certainly , I do not know the world map ,"
"But I say to myself, we are still here.",neutral,6,neutral,"But I say to myself , we are still here ."
"Las Vegas, it's up there.",neutral,6,neutral,"Las Vegas , it is up there ."
"In any case, what I see is that Kevin,",neutral,6,neutral,"In any case , what I see is that Kevin ,"
"Instead of cuddling me and kisses,",sadness,1,disappointment,"Instead of cuddling me and kisses ,"
"Las Vegas, I haven't seen Kevin for a few days.",neutral,6,neutral,"Las Vegas , I haven't seen Kevin for a few days ."
What do I don't care about your history of Las Vegas?,anger,2,annoyance,What do I do not care about your history of Las Vegas ?
"I say it, the Jaguar was further east,",neutral,6,neutral,"I say it , the Jaguar was further east ,"
It was all vegas.,neutral,6,neutral,It was all vegas .
No way.,surprise,4,surprise,No way .
"You, you really enjoyed yourself, without me.",sadness,1,disappointment,"You , you really enjoyed yourself , without me ."
"Kevin, it's true that I trust him.",neutral,6,neutral,"Kevin , it is true that I trust him ."
I know it is influenced.,neutral,6,neutral,I know it is influenced .
"When he is with Julien and his friends,",neutral,6,neutral,"When he is with Julien and his friends ,"
"He likes to laugh, make the fanfaron in front of his friends.",happiness,0,amusement,"He likes to laugh , make the fanfaron in front of his friends ."
"In the end, I even know more what is too much to think of.",surprise,4,confusion,"In the end , I even know more what is too much to think of ."
I don't see you.,surprise,4,confusion,I do not see you .
Do you want me to show you something?,surprise,4,curiosity,Do you want me to show you something ?
"Come on, go ahead.",neutral,6,neutral,"Come on , go ahead ."
"What do we do, people who talk like that?",anger,2,annoyance,"What do we do , people who talk like that ?"
I want to plug them.,anger,2,anger,I want to plug them .
"Go ahead, show us the proof.",surprise,4,curiosity,"Go ahead , show us the proof ."
She is fun.,happiness,0,amusement,She is fun .
I am in Las Vegas.,neutral,6,neutral,I am in Las Vegas .
You touch.,neutral,6,neutral,You touch .
She is fun.,happiness,0,amusement,She is fun .
She's mouth.,neutral,6,neutral,She's mouth .
I am in Las Vegas.,neutral,6,neutral,I am in Las Vegas .
"I am pissed off, annoyed.",anger,2,annoyance,"I am pissed off , annoyed ."
"If something happened, tell me,",surprise,4,curiosity,"If something happened , tell me ,"
I want to know what happened.,surprise,4,curiosity,I want to know what happened .
Go slowly.,neutral,6,neutral,Go slowly .
There is the hotty who is there.,neutral,6,neutral,There is the hotty who is there .
"Quiet, with beautiful photos of Kevin Le Jaguar.",neutral,6,neutral,"Quiet , with beautiful photos of Kevin Le Jaguar ."
It's good ?,surprise,4,curiosity,It is good ?
"Wait, let pass.",neutral,6,neutral,"Wait , let pass ."
"Usually, when Julien and Kevin tell me something,",neutral,6,neutral,"Usually , when Julien and Kevin tell me something ,"
"I walk in it, like a good Belgian.",happiness,0,amusement,"I walk in it , like a good Belgian ."
They shoot us in a corner of the house.,surprise,4,confusion,They shoot us in a corner of the house .
I'm going.,neutral,6,neutral,I am going .
"There may be girls, a swimming pool.",happiness,0,excitement,"There may be girls , a swimming pool ."
"Come on, one, two, three.",neutral,6,neutral,"Come on , one , two , three ."
Go for it.,neutral,6,neutral,Go for it .
"Here, it's my guys.",happiness,0,pride,"Here , it is my guys ."
It's here.,neutral,6,neutral,It is here .
We made play room.,happiness,0,pride,We made play room .
"It's the game room, the Frérots,",happiness,0,pride,"It is the game room , the Frérots ,"
"In any case, I am very tired.",neutral,6,neutral,"In any case , I am very tired ."
I think Kevin has explanations.,surprise,4,curiosity,I think Kevin has explanations .
We will say no more.,neutral,6,neutral,We will say no more .
We are leaving.,neutral,6,neutral,We are leaving .
We will say no more.,neutral,6,neutral,We will say no more .
Everyone has their own problems.,neutral,6,neutral,Everyone has their own problems .
Everyone has their own problems.,neutral,6,neutral,Everyone has their own problems .
Stay in Vegas.,neutral,6,neutral,Stay in Vegas .
We are no longer in government.,neutral,6,neutral,We are no longer in government .
There is nothing.,neutral,6,neutral,There is nothing .
They have things to say.,surprise,4,curiosity,They have things to say .
You are ...,neutral,6,neutral,You are . . .
I told myself it's okay.,happiness,0,relief,I told myself it is okay .
You should jump out of the neck that I am there.,surprise,4,confusion,You should jump out of the neck that I am there .
"And you, you fight your balls.",anger,2,annoyance,"And you , you fight your balls ."
You hurt me.,sadness,1,sadness,You hurt me .
You hurt me.,sadness,1,sadness,You hurt me .
Stop saying nonsense.,anger,2,annoyance,Stop saying nonsense .
You fight your balls.,anger,2,annoyance,You fight your balls .
You are like that.,neutral,6,neutral,You are like that .
"By playing, I played my role as vegas.",happiness,0,pride,"By playing , I played my role as vegas ."
Fatigue.,neutral,6,neutral,Fatigue .
In government.,neutral,6,neutral,In government .
I don't know.,surprise,4,confusion,I do not know .
You don't understand.,anger,2,annoyance,You do not understand .
"For three days,",neutral,6,neutral,"For three days ,"
No one broke my balls.,happiness,0,relief,No one broke my balls .
"Me too, I liked it.",happiness,0,joy,"Me too , I liked it ."
Run down then.,neutral,6,neutral,Run down then .
You want to make me bullshit.,anger,2,annoyance,You want to make me bullshit .
We have been separated for three days.,sadness,1,sadness,We have been separated for three days .
It went very well.,happiness,0,relief,It went very well .
I didn't brown.,surprise,4,confusion,I didn't brown .
There she arrives.,neutral,6,neutral,There she arrives .
We left for problems.,surprise,4,confusion,We left for problems .
"When you see your wife, you are happy.",happiness,0,joy,"When you see your wife , you are happy ."
I no longer have the tiling attacks.,happiness,0,relief,I no longer have the tiling attacks .
It tires me.,anger,2,annoyance,It tires me .
Do not start to fart my balls.,anger,2,annoyance,Do not start to fart my balls .
Do not start to fart my balls.,anger,2,annoyance,Do not start to fart my balls .
"If you put yourself, I'm going to get upset.",anger,2,anger,"If you put yourself , I am going to get upset ."
He played his role.,neutral,6,neutral,He played his role .
that I had missed.,sadness,1,disappointment,that I had missed .
I have the impression that Kevin does not care,sadness,1,disappointment,I have the impression that Kevin does not care
because I am there or not.,sadness,1,sadness,because I am there or not .
"Everything I did, I said to myself",neutral,6,realization,"Everything I did , I said to myself"
that I was missing that in Kevin.,sadness,1,disappointment,that I was missing that in Kevin .
You are fatiguant.,anger,2,annoyance,You are fatiguant .
You are fatiguant.,anger,2,annoyance,You are fatiguant .
I was not fled my balls,surprise,4,confusion,I was not fled my balls
For three days.,neutral,6,neutral,For three days .
It feels good.,happiness,0,relief,It feels good .
Stack.,neutral,6,neutral,Stack .
"She is heavy, this girl.",anger,2,annoyance,"She is heavy , this girl ."
I am disappointed with Kevin's behavior.,sadness,1,disappointment,I am disappointed with Kevin's behavior .
"In addition, he gets angry.",anger,2,annoyance,"In addition , he gets angry ."
He gets angry because I want hugs.,surprise,4,confusion,He gets angry because I want hugs .
It's crazy.,anger,2,annoyance,It is crazy .
We are not on the same wavelength.,anger,2,annoyance,We are not on the same wavelength .
I think she is very jealous.,surprise,4,curiosity,I think she is very jealous .
You won't change it.,neutral,6,neutral,You won't change it .
It is not even very jealous.,surprise,4,confusion,It is not even very jealous .
But what did I do?,surprise,4,confusion,But what did I do ?
She told me that I didn't get my arms.,surprise,4,confusion,She told me that I didn't get my arms .
I know.,neutral,6,neutral,I know .
I hid you.,neutral,6,neutral,I hid you .
"When we arrived, I did that.",neutral,6,neutral,"When we arrived , I did that ."
She did not come.,sadness,1,disappointment,She did not come .
I did that.,neutral,6,neutral,I did that .
"When she changed, I told her that.",neutral,6,neutral,"When she changed , I told her that ."
You have to do that.,neutral,6,neutral,You have to do that .
But you know who to tell me,surprise,4,confusion,But you know who to tell me
Do you have to do that or that?,surprise,4,confusion,Do you have to do that or that ?
"I think being a big boy,",happiness,0,pride,"I think being a big boy ,"
I know what to do,neutral,6,realization,I know what to do
And what should not be done.,neutral,6,realization,And what should not be done .
But the problem is that by force,anger,2,annoyance,But the problem is that by force
"to tell me that, it's not good,",anger,2,annoyance,"to tell me that , it is not good ,"
"that's not good,",anger,2,annoyance,"that's not good ,"
"However, she only talked about you",surprise,4,curiosity,"However , she only talked about you"
During this trip.,neutral,6,neutral,During this trip .
She only talked about you.,surprise,4,curiosity,She only talked about you .
It is at the top that when I am not there.,surprise,4,confusion,It is at the top that when I am not there .
"When I'm not here, she's at the top.",neutral,6,neutral,"When I am not here , she's at the top ."
You stop.,anger,2,annoyance,You stop .
Quoi ?,surprise,4,confusion,Quoi ?
"It's been a week, you saw",neutral,6,neutral,"It is been a week , you saw"
As I tell you about Kevin,neutral,6,neutral,As I tell you about Kevin
from all along the trip.,neutral,6,neutral,from all along the trip .
I don't need you to tell me,anger,2,annoyance,I do not need you to tell me
That I told you what happened.,neutral,6,neutral,That I told you what happened .
There is no problem.,neutral,6,neutral,There is no problem .
You are nasty.,anger,2,anger,You are nasty .
You're right.,neutral,6,realization,You are right .
What is me?,surprise,4,confusion,What is me ?
You are nasty.,anger,2,anger,You are nasty .
We arrive telling me,surprise,4,confusion,We arrive telling me
It is wickedness.,anger,2,anger,It is wickedness .
"In fact, she wants to make me feel guilty",anger,2,annoyance,"In fact , she wants to make me feel guilty"
"It's true, you will find yourself",neutral,6,realization,"It is true , you will find yourself"
A hand in front and one hand behind.,surprise,4,confusion,A hand in front and one hand behind .
There is no problem.,neutral,6,neutral,There is no problem .
I can't tell you.,fear,3,nervousness,I can't tell you .
You arrive at the head like that.,surprise,4,confusion,You arrive at the head like that .
"I arrived, I did you like that,",neutral,6,neutral,"I arrived , I did you like that ,"
I told you.,neutral,6,neutral,I told you .
"We said Vegas, you gathered.",neutral,6,neutral,"We said Vegas , you gathered ."
"Afterwards, you looked at me like that,",surprise,4,curiosity,"Afterwards , you looked at me like that ,"
You rose to me.,surprise,4,confusion,You rose to me .
What word?,surprise,4,confusion,What word ?
"I put the handcuffs,",surprise,4,confusion,"I put the handcuffs ,"
"I did Kevin,",neutral,6,neutral,"I did Kevin ,"
Attach Kevin to the problem.,surprise,4,confusion,Attach Kevin to the problem .
Problems with handcuffs.,surprise,4,confusion,Problems with handcuffs .
I am not supposed to avoid you.,surprise,4,confusion,I am not supposed to avoid you .
"I don't know, it was me.",surprise,4,confusion,"I do not know , it was me ."
"It's you, you are crazy.",anger,2,annoyance,"It is you , you are crazy ."
It's hard to live like that.,anger,2,annoyance,It is hard to live like that .
I did nothing.,neutral,6,neutral,I did nothing .
"It was she who left to have fun,",anger,2,annoyance,"It was she who left to have fun ,"
do a photo-cin,neutral,6,neutral,do a photo-cin
And she ronked me,anger,2,annoyance,And she ronked me
Because I stayed at home.,neutral,6,neutral,Because I stayed at home .
It's the world upside down.,anger,2,annoyance,It is the world upside down .
Stop being like that.,anger,2,annoyance,Stop being like that .
But you are stupid.,anger,2,anger,But you are stupid .
"It's good, we push out",neutral,6,neutral,"It is good , we push out"
"Each time, I don't know.",surprise,4,confusion,"Each time , I do not know ."
Stop.,anger,2,annoyance,Stop .
"It has nothing to do, Carla.",anger,2,annoyance,"It has nothing to do , Carla ."
"I listened, I did not hope,",sadness,1,disappointment,"I listened , I did not hope ,"
It was on billiards.,neutral,6,neutral,It was on billiards .
"Barely you come back,",anger,2,annoyance,"Barely you come back ,"
"It's your kevin, it's your jaguar.",neutral,6,neutral,"It is your kevin , it is your jaguar ."
"He arrived, he played his role.",neutral,6,neutral,"He arrived , he played his role ."
There is nothing bad.,neutral,6,neutral,There is nothing bad .
He is judging me,anger,2,annoyance,He is judging me
in this story.,neutral,6,neutral,in this story .
"If already, you put me bad,",anger,2,annoyance,"If already , you put me bad ,"
Because you wrote,neutral,6,neutral,Because you wrote
"Second, it's normal",neutral,6,neutral,"Second , it is normal"
that when I arrive,neutral,6,neutral,that when I arrive
after a few days,neutral,6,neutral,after a few days
"where I was not there,",neutral,6,neutral,"where I was not there ,"
"No, but serious.",anger,2,annoyance,"No , but serious ."
Be careful.,neutral,6,neutral,Be careful .
You would risk losing it.,fear,3,fear,You would risk losing it .
"Yes, okay.",neutral,6,neutral,"Yes , okay ."
It's not serious.,neutral,6,neutral,It is not serious .
"There are questions,",surprise,4,curiosity,"There are questions ,"
I tell you.,neutral,6,neutral,I tell you .
It's not serious.,neutral,6,neutral,It is not serious .
"You can blame,",anger,2,annoyance,"You can blame ,"
It keeps even more Kévin away.,sadness,1,sadness,It keeps even more Kévin away .
"After a while,",neutral,6,neutral,"After a while ,"
"If there is too much jealousy,",fear,3,fear,"If there is too much jealousy ,"
it will crack,fear,3,fear,it will crack
And I feel that their couple,neutral,6,neutral,And I feel that their couple
will take themselves from them.,sadness,1,sadness,will take themselves from them .
Oh is!,surprise,4,surprise,Oh is !
Razzle !,happiness,0,excitement,Razzle !
Let's go!,happiness,0,excitement,Let us go !
Are you ready ?,surprise,4,curiosity,Are you ready ?
Love tells you,happiness,0,love,Love tells you
your start,happiness,0,optimism,your start
"In life,",neutral,6,neutral,"In life ,"
a second chance.,neutral,6,neutral,a second chance .
It's a big duck,happiness,0,amusement,It is a big duck
who assumes it in public.,happiness,0,pride,who assumes it in public .
Ah yeah?,surprise,4,curiosity,Ah yeah ?
Brief !,neutral,6,neutral,Brief !
Benji !,happiness,0,excitement,Benji !
Is there someone?,surprise,4,curiosity,Is there someone ?
Who is where?,surprise,4,confusion,Who is where ?
Ah here you are!,happiness,0,relief,Ah here you are !
The kiss!,happiness,0,excitement,The kiss !
The kiss!,happiness,0,excitement,The kiss !
"Not, not, you, you Trompes.",surprise,4,confusion,"Not , not , you , you Trompes ."
"Pay,",neutral,6,neutral,"Pay ,"
It's really complicated for me.,surprise,4,confusion,It is really complicated for me .
Quoi ?,surprise,4,confusion,Quoi ?
We stop triggering it!,anger,2,annoyance,We stop triggering it !
It's not me the little one,neutral,6,neutral,It is not me the little one
in this story.,neutral,6,neutral,in this story .
Everything you blame me,anger,2,annoyance,Everything you blame me
"that I do,",neutral,6,neutral,"that I do ,"
I will do,happiness,0,optimism,I will do
Everything I want to do.,happiness,0,optimism,Everything I want to do .
Oh is!,surprise,4,surprise,Oh is !
"Oh, oh, oh !",happiness,0,excitement,"Oh , oh , oh !"
"Oh, oh, oh !",happiness,0,excitement,"Oh , oh , oh !"
"Oh, oh, oh !",happiness,0,excitement,"Oh , oh , oh !"
"Oh, oh, oh !",happiness,0,excitement,"Oh , oh , oh !"
"Oh, oh, oh !",happiness,0,excitement,"Oh , oh , oh !"
"Oh, oh, oh !",happiness,0,excitement,"Oh , oh , oh !"
"Oh, oh, oh !",happiness,0,excitement,"Oh , oh , oh !"
The real that,neutral,6,neutral,The real that
On the Dance Floor.,happiness,0,excitement,On the Dance Floor .
Dance floor !,happiness,0,excitement,Dance floor !
Voilà !,neutral,6,neutral,Voilà !
It's not unpleasant.,neutral,6,neutral,It is not unpleasant .
Who both like,neutral,6,neutral,Who both like
